ID,Nombre,Edad,Género,Ubicación,Grado_escolar,Horas_de_uso_diario,Horas_de_sueño,Rendimiento_académico,Interacciones_sociales,Horas_de_ejercicio,Nivel_de_ansiedad,Nivel_de_depresión,Autoestima,Control_parental,Tiempo_antes_de_acostarse,Chequeos_del_celular_por_día,Aplicaciones_usadas_a_diario,Tiempo_en_redes_sociales,Tiempo_en_el_juego,Tiempo_en_Educación,Propósito_del_uso_del_teléfono,Comunicación_familiar,Horas_de_uso_en_finde,Nivel_de_adicción
638,James Sullivan,13,Varon,West Austinchester,7,5.1,5.5,80,10,1.7,6,6,6,1,0.9,77,6,3.7,1.2,1,busquedas,2,4.8,10
639,Robert Estes,16,Mujer,Hahnborough,7,4,5.1,79,10,0.9,8,9,1,1,2,81,17,2.5,2,1,Juego,2,6,10
640,Debbie Small,13,Mujer,East Brian,11,8.8,7.7,62,5,1.7,8,6,3,1,0.6,34,18,3.2,1.2,1.5,Juego,6,5.6,10
641,Angela Chandler,14,Otro,Port Emilyside,10,1,5.9,74,4,1.7,10,6,8,1,1.1,92,20,1.9,2.8,1.7,Redes sociales,2,5,8.6
642,Russell Booker,18,Mujer,West Jenniferchester,8,5.7,6.2,52,9,1.3,2,8,10,1,1.9,82,5,2.3,1.8,0.7,Juego,9,4.1,9.3
643,Jeffery Thomas,18,Mujer,East Melissafurt,7,5.4,7,90,9,0.2,10,10,1,1,1.3,47,17,4.7,1,0.8,Juego,6,9.5,10
644,Christopher Miller,13,Mujer,North Ruben,10,4.4,7.6,69,4,1.8,2,7,10,1,2.4,73,17,2.7,1.7,0,busquedas,2,3.3,9.9
645,Terry Walker,14,Varon,New Michael,10,6.3,4.4,52,6,0.6,2,1,5,1,0.7,74,7,2.8,1,1.5,busquedas,2,6.9,10
646,Alex Martin,17,Mujer,Christopherton,12,7.8,4.6,56,0,1.5,6,10,9,1,0.6,126,6,0.9,2.1,0.9,Otro,4,8.2,10
647,Caleb Garrett,18,Mujer,West Morgan,8,2.9,4.9,84,5,0.3,5,1,7,0,1.6,74,9,1.9,1.4,0.8,Otro,3,8.8,7
648,Donald Horne,16,Mujer,Lake Jonathan,11,4.1,6.7,82,0,0.6,8,6,1,0,1.3,150,6,1.6,0.5,0.2,Redes sociales,6,3.4,7
649,Sandra Barton,17,Mujer,Port Lisamouth,12,5.5,5.5,62,8,0.8,9,4,7,0,0.7,67,18,3.8,2.9,0,Redes sociales,7,6.7,10
650,Daniel Jones,19,Varon,Bateschester,12,8.5,6.7,69,1,1.7,5,2,6,1,1,47,10,1.7,1.7,0.9,Educación,7,10.4,10
651,Margaret Garcia,17,Otro,Edwardborough,10,3.3,8,69,4,1.2,9,9,1,1,0.6,112,6,0.8,2.1,0.9,Otro,8,4.2,5.6
652,William Vaughn,14,Otro,East Kevinland,7,3.9,5.8,95,6,1.7,1,6,8,1,0.4,83,19,2,1.2,0,busquedas,1,4.6,9.7
653,Maria Jackson,19,Otro,South Jay,12,5.6,5.2,73,2,3,2,1,1,1,0.5,98,11,2.2,0.8,0.3,Otro,1,7.8,10
654,Samuel Williams,14,Varon,New Michaelhaven,12,0,7,89,7,1.7,1,4,10,0,1.5,60,7,2.7,0.3,0.9,Educación,8,4.4,2.1
655,Laura Clements,13,Otro,Port Andrew,12,4.4,5.4,69,9,0.9,2,8,1,1,1.2,142,18,3.4,1.6,1.1,busquedas,9,6.6,10
656,Daniel Schmitt,16,Varon,Port Craigview,10,5.9,5,54,3,0.5,7,10,5,0,1,53,10,2.8,0.8,0,Educación,9,6.1,10
657,Sandra Edwards,14,Mujer,South Daniel,10,3.5,8,63,9,1.3,6,7,8,1,0.7,35,13,2.4,0,0.5,busquedas,3,4.7,5.2
658,Shawn Underwood,13,Mujer,Lake Virginia,11,4.8,9.5,64,2,1.4,3,1,7,1,0.7,40,17,3.1,3.1,1.5,Educación,5,6.6,10
659,Meredith Norris,14,Varon,North Margaret,11,3.1,5.6,52,5,0.2,10,2,10,1,1.2,31,6,3.7,3.5,2.2,Educación,9,4.2,9.3
660,Julia Harris,19,Otro,North Anthony,10,3,6.1,77,8,0.4,9,5,7,1,0.6,141,13,1.9,2.6,0.6,Juego,10,3.1,9.9
661,Samantha Russell,16,Otro,New Tarashire,8,3.8,5.2,87,9,2.6,2,8,4,1,0.7,60,13,1,1.1,1.1,Educación,6,8.7,7.1
662,Katherine Montgomery,17,Varon,Masonburgh,8,4.9,7.7,87,7,0,5,5,6,1,1.4,86,11,1.3,2.8,1,busquedas,7,7.4,9.1
663,Edward Gilbert,17,Varon,Diazberg,10,8.4,9.3,84,7,1,8,3,2,1,1.6,28,7,2,1.2,1,Redes sociales,8,5,8.9
664,Francisco Sanchez,14,Otro,South Jenna,10,2.4,3.4,53,2,1.2,2,4,8,1,1.4,126,5,2.5,2,0.1,busquedas,1,6,8.7
665,Kelly Stanley,13,Mujer,Lake Joseph,7,4.6,8.7,98,7,1.2,4,6,1,0,1.4,122,10,3.8,1.9,0.2,busquedas,5,9.5,10
666,Lawrence Fuller,17,Varon,East Willie,7,5.3,8.4,67,10,0.7,9,4,8,1,0.5,70,18,3.4,0.9,0.7,Educación,10,4.9,10
667,Veronica Evans,15,Varon,East Amberberg,9,5.6,5.3,73,5,0.6,5,4,9,1,2,100,9,2.7,0,1.1,Redes sociales,1,7.8,9.5
668,Joshua Young,13,Varon,Bettyberg,8,5.7,5.6,67,9,0.5,10,8,2,1,0.8,126,9,2.7,0.6,0.3,Educación,1,8.5,10
669,Christopher Garcia,16,Varon,South Peter,10,2.5,10,60,5,1.4,7,10,9,0,0.6,133,17,2.9,1.5,0.1,Juego,6,6.1,8
670,Charles Wolfe,19,Otro,Malonetown,12,3.2,8.5,58,3,1.9,1,3,3,1,0.7,71,11,2.5,0,1.5,busquedas,6,5.3,5.1
671,Daniel Hines,17,Mujer,North James,12,6.6,5.5,68,2,2,4,2,9,1,1.4,138,19,3.6,0.5,2.1,busquedas,3,6.7,10
672,Joshua Howard,13,Otro,Stephaniehaven,12,2.8,6,79,8,0.7,1,8,4,1,0.6,78,5,2.2,1.3,0.4,Juego,4,6.7,5.9
673,Hector Mendez,15,Otro,Camachoberg,7,4.6,5.1,51,2,1,8,7,6,1,1.3,89,17,2.8,0.8,2.1,Juego,7,6.8,10
674,Zachary Perkins,18,Varon,Marqueztown,9,6.4,7.3,84,3,0.2,10,6,1,1,0,52,12,1,2.4,0,Juego,6,9.2,9.6
675,John Weber,13,Mujer,West Cliffordside,10,3.7,5.7,90,6,0.8,3,6,7,0,0.6,117,20,3.2,1.3,1.6,Otro,10,5.5,10
676,Jacqueline Fisher,14,Otro,Lake James,11,6,7.5,63,0,0.8,8,10,6,1,0.7,66,16,2.4,1.5,0.7,Otro,5,3.8,10
677,Kristin Palmer,19,Varon,Perrymouth,8,6.5,6.9,88,7,1.2,7,5,2,1,1.2,93,19,2.3,2.3,1.7,Juego,3,6.1,10
678,Joel Roy,17,Varon,Dawsonville,12,4.7,5.5,68,5,0.3,8,1,6,0,1.5,77,8,1.9,1.3,0,Redes sociales,1,5.5,8.3
679,Nathan Davis,17,Otro,Georgemouth,8,4.4,7.8,55,9,1.5,5,3,9,1,1.1,131,15,0.3,1.5,1.4,Redes sociales,5,7.5,7.9
680,Marc Young,15,Varon,Port Brandy,12,3.8,4.3,89,2,0,5,6,1,1,0.9,56,19,2.7,1.9,1.9,Otro,1,5,10
681,Daniel Reyes,17,Otro,North Kelly,12,9.3,6.9,88,2,0.7,6,2,3,0,1.2,106,9,2,0.3,0.9,Juego,8,8.6,10
682,Ryan Gonzalez,14,Mujer,North Johnmouth,8,3.8,6.2,95,4,0.8,7,1,2,0,1.5,32,9,3.1,1.6,1.4,Juego,5,2.1,7.8
683,Caroline Bowers,14,Varon,South Kayla,11,4.8,6.4,77,5,0.2,7,3,2,0,1,62,18,2.9,1.1,0.1,Educación,9,6.1,10
684,Shane Walker,18,Varon,Cooperland,10,4.9,7,94,3,1.3,6,9,8,0,0.6,109,13,2.3,0,0,Juego,6,5.4,8.5
685,Emily Montgomery,13,Otro,Virginiaside,11,5.7,6,74,1,0.4,8,3,9,1,1,63,20,2.6,0,1.7,busquedas,8,3.3,10
686,Jody Quinn,16,Mujer,Jacobhaven,12,5.4,4.9,88,8,1.3,1,7,9,0,1.7,131,8,2.9,1.7,0.2,Juego,2,5.4,10
687,William Johnson,14,Varon,Ashleychester,11,6.6,8,81,8,1.4,6,4,1,0,0.7,87,17,3.8,2.6,1,busquedas,4,7.1,10
688,Samuel Fischer,17,Otro,East Megan,11,6.5,6,64,10,0,4,5,1,1,1.1,50,6,3,1.6,0.2,Educación,2,6.2,10
689,Dana Rodriguez,19,Mujer,North James,8,7,5.3,59,5,0.4,10,8,9,0,0.8,134,11,2.4,1.5,0.4,Otro,10,3.5,10
690,Caitlyn Baker,17,Mujer,Lake Melissatown,9,4.1,6.8,62,10,1.5,3,8,10,1,1,127,15,4.2,1.5,0.3,Educación,10,5.3,10
691,Krystal Gomez,19,Mujer,West Matthew,9,3.2,4.3,82,6,0.6,10,3,4,1,1,23,11,2.6,2.5,0.9,Educación,9,6.9,8.8
692,Jennifer White,17,Otro,West Davidchester,10,5,7.2,80,8,0.2,4,4,1,1,1.7,122,16,2,2.2,1.2,Redes sociales,7,7.4,10
693,Jessica Harris,18,Otro,Lake Michaelport,9,4.3,4,95,6,1.3,8,6,8,1,0.5,24,13,3.5,2,0,Juego,8,6.9,10
694,Nicholas Villa,17,Otro,Haleyhaven,10,5.4,7.8,77,7,0,5,4,7,1,1.4,120,12,4.3,0,0.4,Juego,10,3.1,10
695,Kurt Brown,13,Varon,Russellton,9,3.7,4.2,85,7,1.7,7,2,10,0,2,132,6,1.4,1.1,0.1,busquedas,9,2,7.9
696,Steven Peterson,16,Otro,Lake Amandahaven,9,5.2,6.1,93,6,0.6,8,8,5,1,0.9,93,11,4.2,2.4,0.3,Redes sociales,4,9.3,10
697,Erika Jones,13,Varon,New Jessemouth,8,2.5,7.6,90,7,0.1,5,2,10,1,1,61,7,2.6,1.9,2.4,busquedas,3,2.1,5.8
698,Anthony Allen,18,Mujer,South Stephanieton,12,4,5.7,55,0,1.4,4,5,2,1,1.3,48,18,2.7,3,0.7,Otro,8,8.3,10
699,Brittany Klein,18,Varon,Lake Julianborough,8,7.6,7,61,7,2.7,10,3,7,0,1.6,121,5,3.1,1.7,1.9,Redes sociales,10,11.6,10
700,Daniel Burgess,17,Mujer,Port Brittanyville,12,4.9,4.7,79,8,1,3,4,2,1,1.3,122,12,2.3,1.2,0.6,Juego,10,5,10
701,Paul Rodriguez,14,Varon,Lake Holly,11,2.8,4.4,60,8,0,2,4,7,1,1.2,95,9,2.8,0.4,0.5,Juego,10,8.1,7.5
702,Philip Patel,13,Mujer,North Christopher,11,0,4.5,63,5,0.4,5,10,9,1,0.8,141,18,3.3,0,1,Redes sociales,1,6.1,7.5
703,Ronald Simmons,16,Mujer,Port Theodore,9,2.9,6.7,64,8,0,5,7,9,0,1.5,115,14,3.4,1.2,0.4,Otro,3,5.1,9.2
704,Gabriella Winters DDS,17,Otro,West Phillipfort,11,4.1,7.1,80,3,0,10,8,6,1,0.7,121,17,1,0.4,1.1,busquedas,6,6.2,7.8
705,Dawn Solis,16,Varon,West Beverlyton,10,8.3,5.7,98,8,0.9,3,9,10,0,1.4,83,7,4.5,0,0.8,Otro,3,6.1,10
706,Theresa Russell,16,Mujer,East Tylermouth,9,0.6,5.7,72,7,0.5,7,2,7,0,1.8,26,7,4.4,2,1,Redes sociales,5,4.5,6.1
707,Steven Morgan,19,Mujer,Wellsland,7,5.6,4.7,98,10,0.9,5,5,4,0,0.8,108,16,4.2,3,0.4,Otro,2,9.1,10
708,Joseph Reynolds,14,Otro,South Carrie,12,6.5,5.6,83,0,1.5,10,4,3,0,1.5,64,11,2.2,2.7,1,Redes sociales,2,7.3,10
709,Jacqueline Holland,17,Varon,South Michael,10,5.3,6.1,54,4,1.3,3,4,3,0,0.7,146,6,2.3,2.4,1.1,busquedas,9,8,10
710,Robert Lee,17,Varon,Port Anthony,9,4,7.5,52,1,1.4,7,4,5,1,0.7,67,14,2.4,1.8,0.5,Educación,8,6.9,8.6
711,Pamela Johnson,15,Varon,Derrickville,8,11,7.7,59,2,0.4,7,7,2,0,2.1,81,10,1.6,1.6,1.4,busquedas,8,6.2,10
712,Lori Johnson,15,Otro,Floresmouth,7,6.3,7.5,83,5,1.3,8,10,4,0,1.6,40,14,4.4,1.3,1.2,Educación,2,5.7,10
713,Annette Thomas,14,Mujer,New Willie,8,0.3,5.8,64,7,0.4,4,9,2,0,0,43,18,2,1.1,0.7,Redes sociales,6,2.7,5
714,Steven Sanchez,16,Varon,Marissaberg,12,4.8,4.7,61,3,0.6,10,1,1,1,1.7,26,12,1.4,2.5,0.9,Educación,10,2.9,9.3
715,Nicole Martinez,19,Otro,North Tony,8,4.4,9.1,100,6,0.5,6,2,6,1,1.4,109,11,4.1,0.7,0.8,Educación,5,7.2,9
716,Lisa Patel,19,Varon,Lake Crystal,7,6.3,4.3,57,3,1.3,8,7,8,0,0.5,53,15,2,2,1.1,Educación,7,7.8,10
717,Bobby Mccarty,17,Varon,Andreaville,7,6.4,7.3,66,1,2.2,8,7,8,0,0.5,144,11,1.9,0.4,1.9,busquedas,4,3.9,10
718,Cassandra Ortiz,18,Varon,East Michael,10,4.7,6.4,88,0,1,6,8,6,0,1.3,99,13,2.8,1.3,1.6,Otro,7,3.6,10
719,William Rich,17,Mujer,New Clinton,12,4.2,4.1,74,4,1.1,10,6,1,0,0.6,131,11,2.4,1.5,1.1,busquedas,6,12.4,10
720,Lisa Sweeney,14,Varon,Staceyfort,9,5.9,6.3,89,0,0.7,3,6,9,1,1.3,54,19,3,2.3,1.4,busquedas,8,7.5,10
721,Scott Harris,19,Otro,Jessicabury,7,8.1,8.2,86,0,1,3,6,2,1,1.1,73,19,1.8,2,0,Educación,6,5.9,10
722,Heather Cunningham,19,Mujer,Priceville,11,6.4,5.2,97,7,1.9,5,2,2,0,1.2,55,13,1.6,0.8,1.1,busquedas,5,6.7,9.9
723,Kristen Sosa,18,Mujer,Port Marcus,8,5.1,4.2,82,8,0.2,1,7,8,0,1.3,127,20,2.2,2.2,1.5,Otro,9,3.2,10
724,Matthew Livingston III,19,Otro,Stephentown,7,5.3,10,60,6,2.2,6,1,7,0,1.4,93,17,2.3,0.4,0.5,Otro,3,6.3,8.3
725,Mary Ruiz,15,Varon,North Dwaynemouth,11,5.6,7.7,75,9,0,3,9,5,1,0.2,72,14,2,1.9,0.7,busquedas,3,3.1,9.9
726,Andrea Young,14,Varon,Jamesstad,10,6.7,5.2,84,6,1.2,2,10,7,0,1.9,60,19,1.4,1.1,1.4,busquedas,1,3.6,10
727,Cindy Adams,17,Mujer,Shelleychester,10,3.8,7,96,6,1.1,4,5,10,0,1.6,122,8,2,0.1,0.7,busquedas,1,9.6,6.4
728,Mr. Angel Hansen,13,Otro,Port Patriciahaven,12,3.5,6.6,88,9,1.5,8,6,4,1,0.5,130,20,3.9,2.9,1.3,Redes sociales,10,5.5,10
729,Michelle Jackson,18,Mujer,Adamsside,12,4.5,7.6,93,1,1.2,3,9,1,1,1.3,70,13,1.7,1.2,0.7,Redes sociales,4,5.4,7.6
730,Brandon Vargas,18,Mujer,New Jessica,8,7.8,7.8,69,2,0,4,8,8,0,1.5,68,17,0.4,3,1,busquedas,2,5.8,10
731,Elizabeth Torres,16,Varon,Port Catherinetown,8,4.1,6.6,80,9,1.8,8,5,2,0,0.2,73,16,3.7,1.6,2.6,Educación,9,4.9,10
732,Maria Ellis,16,Otro,West Thomasberg,11,6.3,4.4,74,7,1.9,8,10,6,1,0.7,129,10,1.5,1.6,0.4,busquedas,10,6.7,10
733,Brett Bowman,17,Mujer,Alyssaton,10,5.4,6.1,69,9,1.4,4,7,1,0,0.9,132,11,3.8,1.2,0.7,busquedas,7,6.5,10
734,Jessica Soto,13,Otro,Bowenmouth,11,2.4,5.6,79,10,1.5,5,2,3,1,0.4,34,12,1.4,3.8,1.1,Juego,5,5.9,7.9
735,Kimberly Clements,16,Otro,Howeside,7,0,7.6,71,6,0.8,6,8,6,0,1.7,98,5,2.2,0,1.3,Redes sociales,3,11.1,1.4
736,Matthew Smith,15,Varon,Smithberg,9,0.3,6.5,56,2,2,1,1,1,0,1.3,135,16,1.1,0,1,busquedas,2,5,4.1
737,Jerry Taylor,15,Varon,North Ericland,12,5.2,8.2,91,9,0.4,6,7,7,1,1,91,8,1.8,0,1,Otro,6,6.1,6.3
738,Shelley Olson,16,Mujer,Port Steven,10,4.4,9.5,84,5,0.9,1,2,10,0,0.9,71,13,3.2,1.9,0,Educación,4,7.9,8.8
739,Dennis Swanson,17,Otro,South David,11,4.5,9.1,78,1,1.3,4,8,3,0,1.7,133,20,3.8,1.6,1.5,busquedas,9,4.3,10
740,Megan Dominguez,15,Otro,South Jonathan,8,4.6,7.1,82,6,0,6,9,6,1,0.9,79,20,3.4,0.9,0,Otro,6,8.3,10
741,Stephanie Diaz,17,Otro,Millerhaven,12,6,6.1,71,8,1.9,9,10,6,0,0.6,99,17,4.7,0,0.7,Educación,9,3.5,10
742,Anthony Wilson,15,Mujer,Torresport,9,5.8,9.9,50,7,2.2,5,7,6,0,1.2,137,12,3.1,1.1,1.3,Redes sociales,6,4.1,10
743,Michael Wheeler,13,Otro,North Tara,8,5.3,8.7,85,2,1.6,5,4,4,0,1.2,58,11,0.7,0.3,0,Juego,2,6.8,5.3
744,Mr. Jorge Patton,17,Otro,Lake David,8,5.5,7.3,66,4,2.3,1,8,1,1,0.5,89,7,3.3,3.8,1.1,Educación,10,7.7,10
745,Jennifer Wilson,14,Otro,Hobbsland,9,4.9,5.7,95,7,0,8,2,2,0,0.8,88,17,3.5,3.1,0.7,Redes sociales,8,5.4,10
746,Robert Powell,13,Mujer,North Shawnberg,8,5.6,8.3,94,2,0,4,6,9,0,1,144,5,1.8,0.9,1.8,Redes sociales,9,5.7,8
747,Erica Allen,15,Mujer,Desireeville,12,4.7,5.2,58,10,0.5,2,10,5,1,0.6,65,17,2.2,0.7,1,Redes sociales,8,6.1,9.7
748,Melissa Horn,17,Mujer,Brendaport,7,3.4,6.8,87,2,1.1,9,1,4,1,0.5,80,11,2.2,1.2,1.7,Redes sociales,6,6.3,7.2
749,Shannon Evans,18,Mujer,Spencerland,10,3.9,5.8,73,9,1.5,3,4,3,1,1.5,103,11,1.6,0.7,0.3,busquedas,5,5,7.6
750,Lauren Rivera,13,Varon,Kellyton,10,3.4,6,85,2,1.2,1,2,7,0,1,97,13,3.2,0,0.3,Educación,6,5.2,8.1
751,Michelle Morgan,14,Otro,Ronaldfurt,9,4.5,5.7,92,10,1.1,3,10,10,1,1.1,144,12,3.7,0.6,1.3,Educación,2,7.2,10
752,Jason Brown,14,Mujer,Kennethfurt,10,7.3,7,87,5,0,2,2,8,0,0.5,35,8,1.9,3.3,3,busquedas,6,6.5,10
753,James Frazier,13,Varon,Jenniferbury,7,7.5,5.2,68,6,0.8,7,6,7,0,0,84,11,2.1,2.7,0.1,busquedas,3,6.8,10
754,Matthew Gardner,19,Mujer,Clarkton,8,8.5,7.5,98,2,0.6,8,8,1,1,1.5,73,12,1,1,0.3,Otro,4,5.5,10
755,Robert Ruiz,19,Mujer,Claireville,8,1.4,8.4,63,1,1.1,3,4,10,1,0.9,130,20,3.2,1.1,1.5,busquedas,4,5.5,8.1
756,Brandon Peters,17,Otro,Lake Anthonyland,7,3,5.7,66,6,0.7,2,3,2,0,1.4,39,14,2.8,1.8,0.3,Educación,2,6.5,8.3
757,Alyssa Davidson,14,Otro,Bryanhaven,8,3.9,6.8,50,10,1.2,2,1,9,0,0.8,115,19,2.3,1.6,1.8,Educación,10,3.5,10
758,Andrea Booth,15,Otro,East Jamesbury,7,5.7,7.7,51,6,1.9,4,3,2,1,1.2,121,9,1.7,0.7,0.7,Redes sociales,6,2,8.5
759,Erika Miller PhD,17,Mujer,Lake Samantha,10,0.8,5.7,65,10,1.8,5,6,1,1,1.2,128,11,3.2,2.3,2.4,Juego,3,7.2,8.2
760,Heather Castro,16,Varon,Stewartchester,7,8.1,9.5,65,6,1.8,6,2,1,1,0.6,38,20,0,1.3,0.4,busquedas,5,2.8,9.4
761,Kirk Hart,18,Varon,Ashleemouth,11,6.8,8.4,95,5,0.4,1,5,7,1,1,103,8,1.2,1.1,0.9,Juego,2,12.6,8.6
762,David Fitzgerald,13,Mujer,West Jessica,9,4.6,6.8,93,9,1.7,9,2,5,0,1,150,16,3.7,0.6,0.7,Educación,4,3.4,10
763,Abigail Arias,16,Otro,Lake Lawrence,11,4.1,6.1,69,1,2.5,9,6,1,1,1.1,119,15,1.5,3.1,1.4,Redes sociales,5,6.3,10
764,Brandy Williams,13,Varon,Stephanieburgh,7,7.7,7.5,58,0,1.4,9,10,6,0,1.2,41,9,3.6,1.2,1.7,busquedas,10,4.7,10
765,Laura Griffin,13,Mujer,Lake Stephanieport,11,3.9,6.3,98,4,1.5,8,3,7,1,1,84,9,1.5,0.8,1.1,Juego,8,3.7,6.5
766,Marcus Bullock,13,Mujer,Port Allisonfort,7,3,4.2,67,0,0.8,7,8,2,1,0.2,42,19,1.1,2.6,1.4,Juego,6,6.8,9.2
767,Laura Rice,18,Varon,Woodshire,11,7.8,8.5,71,9,1.2,6,5,10,1,0.7,41,10,2.9,3.1,0.9,Educación,2,7.4,10
768,Casey West,16,Varon,Pageville,8,6.5,8,85,8,0.8,2,5,4,0,1,135,13,5,1.8,0.6,busquedas,2,7.5,10
769,Debbie Schmidt,17,Otro,North Kevinshire,9,1.9,6.8,99,7,1.4,1,4,3,1,1.7,80,18,2.2,0.9,1.4,busquedas,4,6,6.8
770,Timothy Davis,14,Mujer,South Tracystad,7,4.6,5.2,88,9,0.6,8,10,1,1,0.7,129,15,1.1,2,0.4,Otro,9,8.1,10
771,Christian Jimenez,13,Mujer,North Lisaton,11,7.5,5.7,70,8,0.9,4,10,5,0,1.4,52,13,1.4,1.4,1,busquedas,8,3.5,10
772,Amanda Baker,13,Varon,Alvarezview,11,2.4,6.2,63,2,0.5,7,8,5,0,0.9,88,5,1.1,1.8,0.9,Redes sociales,1,4.5,5
773,Sue Harris,18,Mujer,Timothybury,7,7.2,9.7,74,0,0,4,1,4,0,1.3,140,14,2.5,0.7,0.9,Juego,8,10.7,10
774,Mrs. Brittney Greene,16,Otro,Ianborough,11,0,5.7,94,2,0.6,5,5,7,1,1.4,122,18,3.2,0.9,1.7,Educación,6,5.7,7.3
775,Thomas Gaines,18,Otro,Graceshire,9,1.8,6.6,75,8,0.4,2,3,4,1,0.9,67,16,1.6,1.2,0,Educación,6,3.1,5.8
776,Jessica Kane,13,Mujer,New Stephanie,10,6.2,6.2,73,4,1.2,7,8,6,0,1.1,24,16,1.8,2.9,1.1,busquedas,5,9,10
777,Nathaniel Brown,14,Otro,West Willie,10,2,7.3,58,8,1.8,3,9,1,1,2,92,6,1.4,1,0.5,Juego,10,6.9,3.8
778,Jacob Mccullough,19,Otro,Raymondside,12,3.1,6.8,84,3,1.4,5,5,10,1,1.4,85,7,2.2,2.3,2.1,Educación,1,8.7,7.3
779,Miss Lisa Kennedy,19,Varon,North Joseph,9,8.1,7.1,77,1,0.9,7,4,8,0,0.9,22,6,3.4,0.8,1.9,Juego,4,5.6,10
780,Robert Holland,18,Otro,East Kelly,10,3,7.3,92,3,1.1,9,8,6,1,0.4,72,13,3.5,0.5,1.6,Educación,5,5,7.4
781,Raymond Callahan,17,Otro,Butlerstad,10,3.8,6.4,78,1,0.7,6,6,8,0,1,25,7,2.8,2.5,1.6,busquedas,3,7,7.8
782,Eric Kline DDS,13,Otro,West Peterfurt,10,3.9,8.4,98,7,1.1,9,2,5,1,1.2,82,8,4.1,2,1.6,busquedas,6,11,9
783,Jeffrey Walker,18,Otro,Markmouth,10,5.1,4,98,1,0.9,10,1,7,1,0.6,138,20,1.9,3.2,1.1,Otro,6,5.2,10
784,Kathryn Romero,17,Mujer,West Nancyfort,8,3.8,6.3,65,10,0.3,1,5,7,0,1.5,83,18,3.1,3.7,0.9,busquedas,2,5.9,10
785,Craig Morales,16,Mujer,Patriciatown,9,5.8,6.4,53,10,3.4,7,5,2,1,0.6,100,5,2.5,0.2,0.9,busquedas,6,6.9,8.3
786,Amy Woods,19,Varon,South Katieshire,11,3.9,7.2,66,5,0,10,10,1,1,1,84,13,3.9,1.6,0,Redes sociales,5,4.7,10
787,Sheila Woodward,18,Varon,Montoyaville,9,8.4,6,88,6,2.5,3,2,2,0,0.8,77,8,1,2.5,2.4,Redes sociales,4,4.4,10
788,Richard Dawson,16,Varon,West Jody,8,4.8,7.7,50,8,0.9,2,4,8,1,0.9,102,8,2.2,0.6,1.7,Redes sociales,4,8.9,7.4
789,Rachel Richardson,18,Varon,Wagnertown,12,3.4,7.3,82,4,0,6,9,2,0,0.6,51,12,2.1,0,0,Juego,1,3,5.3
790,Ethan Marquez,19,Varon,Port Zacharyborough,7,4.7,5.2,99,7,1.2,5,4,1,1,0.2,36,16,2.6,1.6,1.6,Juego,2,0.7,10
791,Mary Booker,18,Varon,North Josephmouth,11,6.8,7.9,97,7,2.2,3,10,9,1,0.4,126,11,2.2,2.6,0.8,Educación,10,5.9,10
792,Michael Young,13,Otro,Amychester,7,6.7,5.2,59,6,1,4,1,1,1,1.5,68,16,5,1.1,0.4,Redes sociales,5,2,10
793,Krystal Ellis,15,Mujer,New Denise,8,1.5,9,95,4,0,8,8,3,0,0.5,84,10,3.3,2.5,1.4,Juego,1,4.6,6.5
794,Andrew Brown,13,Mujer,Nixonville,9,3.8,5.5,96,3,0.4,10,1,9,1,1.3,102,15,3.1,1.5,1.2,Redes sociales,5,6.8,10
795,Yvonne Davis,14,Mujer,Peterside,9,3.7,6.9,65,6,0.1,2,4,10,0,1,149,10,1.1,0.1,1,Redes sociales,6,6.1,6.4
796,Kyle Woodard,19,Mujer,Bakertown,7,1.5,6.3,87,1,0.9,6,1,10,1,1.4,45,8,3.1,2.8,0.7,Redes sociales,4,8.1,6.7
797,Christopher Chavez,15,Mujer,Davidhaven,11,6.6,7.6,61,5,1.5,6,2,2,1,0,28,20,3,1.8,1.2,Otro,2,5.4,10
798,Lisa Snow,16,Otro,South Lisaport,12,6.6,9.1,64,10,0.9,6,1,8,0,0.8,147,10,2.8,1,0.9,Redes sociales,7,7.8,10
799,Joshua Welch,13,Otro,Port Jason,7,4.3,7.4,72,8,0.6,3,4,9,0,1.5,32,16,4.1,0.9,1,Otro,3,8,9.4
800,Zachary Moore,16,Varon,Lake Emilyhaven,9,7.8,5.5,96,8,1.6,8,1,6,0,1.1,74,18,2.7,3.2,0,Juego,6,6.8,10
801,Lindsay Fry,18,Varon,Sherryfort,7,7.1,6.8,86,10,1.7,4,7,8,1,0.9,45,5,4,0.1,1.3,Educación,7,7.1,9.7
802,Savannah Gonzales,17,Otro,Lake Jacqueline,7,5.3,4.5,96,8,1.5,5,5,3,1,2,108,18,2.3,1.2,1.3,Juego,1,4.8,10
803,Linda Moore,16,Varon,Lozanoport,11,5.9,7.9,77,9,1.1,1,10,8,0,1.5,132,10,1.7,0.6,0.4,Redes sociales,3,3.6,8.9
804,Joan Mooney,17,Varon,South Travis,12,4.5,6,81,8,0.1,2,7,9,1,1.2,58,18,2.1,2.5,0.9,Educación,2,4.8,10
805,Matthew Pena,17,Mujer,East Michaelville,7,5.6,9.7,95,4,0,8,5,4,0,1.3,128,5,0.2,1.9,0.3,Redes sociales,2,8.3,6.4
806,Donna Martinez,19,Varon,Andrewsmouth,12,4.5,6.8,85,0,1.7,1,5,7,0,1.1,143,7,2.1,0.7,0.7,Otro,4,6.3,8.2
